epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,34809.1,0.85975,3.87972,0.31395,0.79022,1.1207,0.87867,0.86922,0.92731,0.7399,0.7796,0.71869,0.6985,0.22657,0.81041,3.49343,0.32223,0.66066,1.08663,0.000812,0.000812,0.000812
47,35564.8,0.86401,3.86329,0.31314,0.77739,1.11493,0.89964,0.84473,0.92793,0.7449,0.77829,0.71707,0.69306,0.22885,0.80699,3.45218,0.31986,0.65235,1.07419,0.0007856,0.0007856,0.0007856
48,36320.4,0.86465,3.81831,0.31498,0.77056,1.12177,0.88059,0.85954,0.93027,0.74697,0.78673,0.71999,0.69124,0.22856,0.80925,3.45496,0.31906,0.64805,1.08084,0.0007592,0.0007592,0.0007592
49,37074.1,0.85349,3.77828,0.31084,0.76648,1.11744,0.88366,0.8633,0.93161,0.75099,0.8081,0.71374,0.72016,0.23887,0.78587,3.40578,0.31438,0.65107,1.06584,0.0007328,0.0007328,0.0007328
50,37834,0.84832,3.80063,0.31055,0.7696,1.10986,0.89231,0.85539,0.92922,0.74509,0.7997,0.72719,0.71816,0.24776,0.79461,3.40273,0.31675,0.64288,1.06575,0.0007064,0.0007064,0.0007064
51,38589,0.83139,3.70875,0.30595,0.77906,1.09399,0.8807,0.86211,0.92953,0.74776,0.79137,0.73765,0.73044,0.24616,0.79614,3.40554,0.31872,0.65539,1.06903,0.00068,0.00068,0.00068
52,39339.2,0.8411,3.78007,0.30638,0.7576,1.1066,0.88107,0.87222,0.93152,0.75183,0.77793,0.72422,0.69936,0.23595,0.78494,3.42427,0.31573,0.63725,1.06008,0.0006536,0.0006536,0.0006536
53,40090.7,0.8484,3.76256,0.30453,0.74777,1.1091,0.89082,0.86527,0.92954,0.74835,0.79644,0.73015,0.72487,0.25015,0.78316,3.39669,0.31548,0.63886,1.05976,0.0006272,0.0006272,0.0006272
54,40855.4,0.83566,3.75562,0.3054,0.75354,1.10799,0.89155,0.85746,0.93228,0.75203,0.79214,0.73176,0.71725,0.24078,0.79185,3.38784,0.31686,0.63387,1.06594,0.0006008,0.0006008,0.0006008
55,41648.5,0.8318,3.69099,0.3043,0.73826,1.09817,0.88463,0.87436,0.93501,0.75951,0.79716,0.73449,0.71961,0.2378,0.77461,3.37549,0.31417,0.61766,1.0589,0.0005744,0.0005744,0.0005744
